id,question,intent,split,language,domain,source_type_hint,requires_context
HOWIE-FAC-001,What is the sample size of the student mobility study?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-002,How many universities participated in the survey?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-003,What percentage of students reported financial difficulties?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-004,Which year was the EUROSTUDENT data collected?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-005,What is the response rate for the national student survey?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-006,How many countries are included in the comparative report?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-007,What is the average age of respondents in the study?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-008,Which institution published the report on higher education access?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-009,What share of first-generation students entered university?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-010,How many interviews were conducted for the qualitative study?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-011,What was the total number of valid survey responses?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-012,Which dataset was used to analyze doctoral career paths?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-013,What is the median monthly income of students in the sample?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-014,How many pages does the final report contain?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-015,Which indicator measures international student mobility?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-016,What proportion of students worked during the semester?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-017,When was the policy brief on student housing published?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-018,How many study programs were covered in the analysis?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-019,What was the reported dropout rate in the cohort?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-020,Which federal states were included in the German student survey?,FACT,train,en,higher_education_research,mixed,false
HOWIE-FAC-021,What is the exact definition of educational background used here?,FACT,dev,en,higher_education_research,mixed,false
HOWIE-FAC-022,How many female respondents are in the dataset?,FACT,dev,en,higher_education_research,mixed,false
HOWIE-FAC-023,What percentage of students used public financial aid?,FACT,dev,en,higher_education_research,mixed,false
HOWIE-FAC-024,What was the employment rate of graduates?,FACT,dev,en,higher_education_research,statistical_table,false
HOWIE-FAC-025,What is the reported standard error for the estimate?,FACT,dev,en,higher_education_research,mixed,false
HOWIE-FAC-026,How many doctoral candidates answered the questionnaire?,FACT,test,en,higher_education_research,mixed,false
HOWIE-FAC-027,Which age group had the highest participation rate?,FACT,test,en,higher_education_research,mixed,false
HOWIE-FAC-028,What was the funding source for this research project?,FACT,test,en,higher_education_research,mixed,false
HOWIE-FAC-029,How many institutions contributed administrative data?,FACT,test,en,higher_education_research,mixed,false
HOWIE-FAC-030,What is the value of the mobility rate in 2021?,FACT,test,en,higher_education_research,mixed,false
HOWIE-SUM-001,Summarize the main findings of the student mobility report.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-002,What are the key takeaways from the study on student financing?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-003,Give me an overview of the findings on higher education access.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-004,Can you summarize the report in plain language?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-005,What are the most important results about international students?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-006,Provide a short summary of the chapter on study conditions.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-007,What does the publication say overall about doctoral careers?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-008,Summarize the evidence on social inequality in higher education.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-009,What are the central results of the survey?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-010,Give me a concise overview of the findings about student housing.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-011,What are the main conclusions of the policy brief?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-012,Summarize the study results for a non-expert audience.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-013,What are the headline findings from the latest report?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-014,Can you extract the key messages from this paper?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-015,What does the report mainly show about student employment?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-016,Summarize the research results in three bullet points.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-017,What is the overall picture from the data portal entry?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-018,Give me a brief synthesis of the results on study dropout.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-019,What are the major findings across the analyzed documents?,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-020,Summarize the section about learning conditions.,SUMMARY,train,en,higher_education_research,mixed,false
HOWIE-SUM-021,What should I remember from this study?,SUMMARY,dev,en,higher_education_research,mixed,false
HOWIE-SUM-022,Can you provide an executive summary of the report?,SUMMARY,dev,en,higher_education_research,mixed,false
HOWIE-SUM-023,What are the core findings on academic staff careers?,SUMMARY,dev,en,higher_education_research,mixed,false
HOWIE-SUM-024,Give me a compact overview of the results by topic.,SUMMARY,dev,en,higher_education_research,mixed,false
